year,stateabbr_c,statedesc_c,locationname_c,locationid_c,totalpopulation_c,geolocation_c,sca_release_id_c,msa_c,msa_code,state_c,short_name_c,source_dataset_c,year_coverage_c,latitude_n,longitude_n,name_n,cldd_n,dt00_n,dt32_n,dx32_n,dx70_n,dx90_n,emnt_n,emxt_n,htdd_n,prcp_n,tavg_n,tmax_n,tmin_n,tsun_n,msa_n,msa_u,total_population_u,median_age_u,pct_male_u,pct_female_u,cbsa_code_u,median_household_income_u,pct_bachelors_plus_u,pct_graduate_degree_u,pct_less_than_hs_u,pct_white_u,pct_black_u,pct_hispanic_u,pct_asian_u,CASTHMA,CHD,COPD,LPA,MHLTH,OBESITY,PHLTH,STROKE
2018,WA,Washington,Kennewick,5335275,"73,916",(-119.1321215 46.19315175),2018_PLACES_2020_release,"Kennewick-Richland, WA Metro Area",279.0,WA,Kennewick,places,10,46.2695,-119.11816,"PASCO TRI CITIES AIRPORT, WA US",455.7,0.0,111.0,4.0,164.0,52.0,-11.6,41.7,2666.7,168.3,12.36,19.7,5.02,,"Kennewick-Richland, WA Metro Area","Kennewick-Richland, WA Metro Area",284828.0,33.7,50.7,49.3,28420.0,64396.0,10.1,16.2,8.3,78.0,1.9,31.3,2.5,11.0,6.4,6.7,21.8,14.4,37.0,14.6,3.3
2018,WA,Washington,Seattle,5363000,"608,660",(-122.3150502 47.63601463),2018_PLACES_2020_release,"Seattle-Tacoma-Bellevue, WA Metro Area",420.0,WA,Seattle,places,10,47.54554,-122.31475,"SEATTLE BOEING FIELD, WA US",205.0,0.0,22.0,0.0,103.0,6.0,-4.9,32.8,2364.0,815.6,12.53,16.75,8.31,,"Seattle-Tacoma-Bellevue, WA Metro Area","Seattle-Tacoma-Bellevue, WA Metro Area",3809717.0,37.0,50.0,50.0,42660.0,82189.0,9.4,26.2,3.1,69.2,5.7,9.9,13.3,9.0,4.6,3.8,13.5,11.1,23.3,9.2,2.4
2018,WA,Washington,Spokane,5367000,"209,762",(-117.4329959 47.66708411),2018_PLACES_2020_release,"Spokane-Spokane Valley, WA Metro Area",432.0,WA,Spokane,places,10,47.62168,-117.52796,"SPOKANE INTERNATIONAL AIRPORT, WA US",306.6,0.0,119.0,23.0,124.0,22.0,-15.5,39.4,3476.8,405.9,9.78,14.9,4.66,,"Spokane-Spokane Valley, WA Metro Area","Spokane-Spokane Valley, WA Metro Area",555308.0,38.5,49.6,50.4,44060.0,54128.0,12.8,18.4,1.9,88.2,1.5,5.4,2.1,10.7,6.1,6.5,20.2,15.1,33.6,13.7,3.2
2018,WA,Washington,Yakima,5380010,"91,866",(-120.5495661 46.5923051),2018_PLACES_2020_release,"Yakima, WA Metro Area",482.0,WA,Yakima,places,10,46.56398,-120.53488,"YAKIMA AIRPORT, WA US",363.9,0.0,130.0,7.0,161.0,41.0,-11.6,40.6,2788.5,129.1,11.45,19.02,3.87,,"Yakima, WA Metro Area","Yakima, WA Metro Area",249325.0,32.8,50.1,49.9,49420.0,49871.0,8.4,9.8,15.6,78.1,1.1,48.9,0.9,10.9,7.1,7.1,23.0,15.4,37.6,16.6,3.6
2018,WI,Wisconsin,Appleton,5502375,"72,747",(-88.38915424 44.27749647),2018_PLACES_2020_release,"Appleton, WI Metro Area",115.0,WI,Appleton,places,10,44.27703,-88.43772,"APPLETON, WI US",406.6,17.0,176.0,74.0,129.0,10.0,-23.9,35.0,4296.9,1060.6,7.43,12.46,2.41,,"Appleton, WI Metro Area","Appleton, WI Metro Area",234561.0,38.5,50.0,50.0,11540.0,65031.0,12.8,20.6,2.2,90.8,1.3,4.2,3.3,9.2,5.5,5.6,19.9,12.7,32.5,11.5,2.7
2018,WI,Wisconsin,Green Bay,5531000,"103,998",(-87.99410364 44.51415539),2018_PLACES_2020_release,"Green Bay, WI Metro Area",238.0,WI,Green Bay,places,10,44.47958,-88.1371,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",369.4,12.0,171.0,72.0,131.0,8.0,-23.8,36.1,4233.5,997.1,7.69,12.57,2.82,,"Green Bay, WI Metro Area","Green Bay, WI Metro Area",317702.0,38.7,49.8,50.2,24580.0,59830.0,12.4,19.1,3.1,87.2,2.0,7.3,2.7,9.5,6.2,6.5,22.8,14.1,35.3,13.7,3.1
2018,WI,Wisconsin,Kenosha,5539225,"99,366",(-87.902185 42.57462369),2018_PLACES_2020_release,"Kenosha, WI Metro Area",280.0,WI,Kenosha,places,10,42.56082,-87.81556,"KENOSHA WWTP, WI US",387.1,7.0,144.0,39.0,117.0,8.0,-22.8,35.0,3771.1,1219.8,8.8,12.87,4.73,,"Kenosha, WI Metro Area",,,,,,,,,,,,,,,9.8,6.1,6.3,24.6,13.9,36.6,13.1,3.1
2018,WI,Wisconsin,Madison,5548000,"233,337",(-89.39409353 43.08237601),2018_PLACES_2020_release,"Madison, WI Metro Area",316.0,WI,Madison,places,10,43.14069,-89.34521,"MADISON DANE CO REGIONAL AIRPORT, WI US",429.0,16.0,171.0,62.0,136.0,9.0,-24.9,35.0,4029.0,1286.8,8.23,13.26,3.2,,"Madison, WI Metro Area","Madison, WI Metro Area",647281.0,36.0,49.8,50.2,31540.0,69372.0,10.4,27.6,1.7,85.9,4.4,5.7,4.9,8.8,4.9,4.5,17.7,11.7,26.3,10.0,2.4
2018,WI,Wisconsin,Milwaukee,5553000,"594,833",(-87.96718763 43.06410087),2018_PLACES_2020_release,"Milwaukee-Waukesha, WI Metro Area",329.0,WI,Milwaukee,places,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,7.0,7.5,30.0,15.8,40.1,16.9,4.3
2018,WI,Wisconsin,Racine,5566000,"78,817",(-87.79871675 42.73352072),2018_PLACES_2020_release,"Racine-Mount Pleasant, WI Metro Area",383.0,WI,Racine,places,10,42.75856,-87.8178,"RACINE BATTEN AIRPORT, WI US",427.8,7.0,156.0,43.0,125.0,10.0,-22.1,33.9,3797.1,1087.1,8.86,13.24,4.48,,"Racine-Mount Pleasant, WI Metro Area",,,,,,,,,,,,,,,10.5,6.6,7.0,29.0,14.9,43.5,14.7,3.7
2018,WV,West Virginia,Charleston,5414600,"51,400",(-81.62953144 38.3494704),2018_PLACES_2020_release,"Charleston, WV Metro Area",161.0,WV,"Charleston, WV",places,10,38.3795,-81.59112,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",856.5,2.0,105.0,15.0,183.0,28.0,-18.8,35.0,2476.3,1703.9,13.8,19.39,8.21,,"Charleston, WV Metro Area","Charleston, WV Metro Area",217312.0,43.3,48.4,51.6,16620.0,44096.0,6.3,13.1,4.0,89.9,6.3,1.0,1.0,10.7,7.9,9.5,27.0,17.4,37.6,14.8,3.4
2018,WY,Wyoming,Cheyenne,5613900,"59,591",(-104.814945 41.13867096),2018_PLACES_2020_release,"Cheyenne, WY Metro Area",166.0,WY,Cheyenne,places,10,41.15788,-104.80814,"CHEYENNE WSFO AIRPORT, WY US",212.0,6.0,179.0,26.0,137.0,15.0,-25.5,37.2,3650.6,396.2,8.47,15.7,1.23,,"Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",97692.0,36.9,50.6,49.4,16940.0,64220.0,12.9,18.5,1.7,88.9,2.5,14.5,1.1,9.0,5.4,6.2,21.2,12.8,30.0,11.5,2.7
2019,AK,Alaska,Anchorage,203000,"291,826",(-149.1063668 61.14965444),2019_PLACES_2021_release,"Anchorage, AK Metro Area",112.0,AK,Anchorage,places,10,61.1561,-149.9847,"ANCHORAGE FORECAST OFFICE, AK US",42.8,13.0,170.0,76.0,47.0,0.0,-24.4,31.7,4987.4,409.6,4.91,8.86,0.97,,"Anchorage, AK Metro Area","Anchorage, AK Metro Area",398900.0,34.0,51.3,48.7,11260.0,83048.0,9.1,20.1,2.3,68.0,4.4,8.1,7.5,9.4,4.8,5.2,20.2,12.9,30.4,10.3,2.8
2019,AL,Alabama,Birmingham,107000,"212,117",(-86.79698717 33.52899225),2019_PLACES_2021_release,"Birmingham, AL Metro Area",136.0,AL,Birmingham,places,10,33.56545,-86.7449,"BIRMINGHAM AIRPORT, AL US",1434.1,0.0,30.0,0.0,235.0,107.0,-7.7,38.3,1329.9,1335.5,18.8,24.66,12.94,,"Birmingham, AL Metro Area",,,,,,,,,,,,,,,11.2,7.1,8.7,37.4,18.5,40.4,16.2,5.5
2019,AL,Alabama,Huntsville,137000,"180,868",(-86.54307275 34.55304921),2019_PLACES_2021_release,"Huntsville, AL Metro Area",259.0,AL,Huntsville,places,10,34.64406,-86.78615,"HUNTSVILLE INTNL AIRPORT, AL US",1303.2,0.0,41.0,0.0,217.0,100.0,-8.2,37.8,1531.0,1565.9,17.78,23.79,11.77,,"Huntsville, AL Metro Area","Huntsville, AL Metro Area",457003.0,38.7,49.1,50.9,26620.0,64483.0,8.1,24.2,3.2,70.5,22.1,5.2,2.4,10.3,6.2,7.2,30.8,16.7,34.7,14.2,3.7
2019,AL,Alabama,Mobile,150000,"195,160",(-88.11729159 30.67830082),2019_PLACES_2021_release,"Mobile, AL Metro Area",333.0,AL,Mobile,places,10,30.61465,-88.06301,"MOBILE DOWNTOWN AIRPORT, AL US",1850.7,0.0,6.0,0.0,283.0,127.0,-1.0,38.3,681.0,1507.6,21.57,26.77,16.36,,"Mobile, AL Metro Area","Mobile, AL Metro Area",430655.0,38.1,47.7,52.3,33660.0,47302.0,8.0,15.1,3.2,58.9,35.3,2.8,1.9,10.0,6.6,7.9,32.3,17.6,37.8,15.1,4.4
2019,AL,Alabama,Montgomery,151000,"205,768",(-86.26807581 32.34768673),2019_PLACES_2021_release,"Montgomery, AL Metro Area",337.0,AL,Montgomery,places,10,32.2997,-86.40745,"MONTGOMERY AIRPORT, AL US",1635.0,0.0,24.0,0.0,273.0,131.0,-4.9,39.4,1004.5,1211.4,20.21,26.74,13.67,,"Montgomery, AL Metro Area","Montgomery, AL Metro Area",373544.0,37.4,47.7,52.3,33860.0,52649.0,7.8,18.1,3.9,50.2,44.7,3.2,2.0,10.2,6.5,8.0,33.1,17.8,38.1,15.4,4.5
2019,AL,Alabama,Tuscaloosa,177256,"91,096",(-87.52226562 33.23154806),2019_PLACES_2021_release,"Tuscaloosa, AL Metro Area",452.0,AL,Tuscaloosa,places,10,33.21217,-87.61552,"TUSCALOOSA AIRPORT ASOS, AL US",,0.0,31.0,,,,-6.0,,1187.2,1565.6,,,13.04,,"Tuscaloosa, AL Metro Area","Tuscaloosa, AL Metro Area",250681.0,34.4,48.1,51.9,46220.0,50408.0,6.9,16.6,3.6,60.6,35.8,3.5,1.4,10.6,6.7,8.4,34.6,18.4,41.3,15.9,4.6
2019,AR,Arkansas,Fayetteville,523290,"73,581",(-94.16625008 36.07199652),2019_PLACES_2021_release,"Fayetteville-Springdale-Rogers, AR Metro Area",215.0,AR,"Fayetteville, AR",places,10,36.01027,-94.16824,"FAYETTEVILLE DRAKE FIELD, AR US",829.9,0.0,97.0,4.0,189.0,36.0,-13.8,35.0,2341.2,1658.3,14.39,20.5,8.28,,"Fayetteville-Springdale-Rogers, AR Metro Area","Fayetteville-Springdale-Rogers, AR Metro Area",514259.0,34.0,49.8,50.2,22220.0,57603.0,5.8,20.7,6.1,83.1,2.6,16.3,3.2,9.7,6.4,7.2,24.4,16.6,32.8,14.2,3.1
2019,AR,Arkansas,Jonesboro,535710,"67,372",(-90.67910094 35.8211953),2019_PLACES_2021_release,"Jonesboro, AR Metro Area",273.0,AR,Jonesboro,places,10,35.83567,-90.64424,"JONESBORO MUNICIPAL AIRPORT, AR US",1197.1,0.0,48.0,5.0,197.0,81.0,-8.2,37.2,1980.7,1673.4,16.31,21.52,11.1,,"Jonesboro, AR Metro Area","Jonesboro, AR Metro Area",131241.0,35.1,48.8,51.2,27860.0,46068.0,7.0,14.9,4.6,80.5,12.7,4.7,1.2,10.0,6.4,7.9,32.8,18.5,39.5,15.6,3.5
2019,AR,Arkansas,Little Rock,541000,"193,579",(-92.35749038 34.72566818),2019_PLACES_2021_release,"Little Rock-North Little Rock-Conway, AR Metro Area",307.0,AR,Little Rock,places,10,34.72727,-92.2358,"LITTLE ROCK AIRPORT ADAMS FIELD, AR US",1222.6,0.0,49.0,0.0,205.0,82.0,-8.2,37.2,1758.5,1536.4,16.87,22.48,11.26,,"Little Rock-North Little Rock-Conway, AR Metro Area","Little Rock-North Little Rock-Conway, AR Metro Area",737015.0,36.9,48.4,51.6,30780.0,54746.0,7.8,18.9,3.1,70.3,23.3,5.3,1.7,10.0,6.0,6.9,29.3,16.5,35.0,14.0,3.7
2019,AZ,Arizona,Phoenix,455000,"1,447,303",(-112.0905993 33.57072622),2019_PLACES_2021_release,"Phoenix-Mesa-Chandler, AZ Metro Area",370.0,AZ,Phoenix,places,10,33.4278,-112.00365,"PHOENIX AIRPORT, AZ US",2599.8,0.0,1.0,0.0,287.0,157.0,-1.0,46.1,562.6,151.1,23.85,30.14,17.56,,"Phoenix-Mesa-Chandler, AZ Metro Area","Phoenix-Mesa-Chandler, AZ Metro Area",4761603.0,36.7,49.7,50.3,38060.0,63883.0,8.6,20.0,5.6,77.8,5.5,30.9,4.0,10.2,5.8,6.4,27.1,15.7,32.0,13.4,3.1
2019,AZ,Arizona,Tucson,477000,"525,926",(-110.9706498 32.15366844),2019_PLACES_2021_release,"Tucson, AZ Metro Area",450.0,AZ,Tucson,places,10,32.13153,-110.95638,"TUCSON INTERNATIONAL AIRPORT, AZ US",1841.2,0.0,17.0,0.0,291.0,140.0,-2.7,43.3,802.3,346.5,21.21,28.63,13.79,,"Tucson, AZ Metro Area","Tucson, AZ Metro Area",1027207.0,38.5,49.2,50.8,46060.0,53379.0,8.7,18.7,4.5,76.0,3.6,37.2,2.9,10.4,5.8,6.8,25.6,16.7,32.0,14.8,3.2
2019,AZ,Arizona,Yuma,485540,"93,189",(-114.5155375 32.55327422),2019_PLACES_2021_release,"Yuma, AZ Metro Area",486.0,AZ,Yuma,places,10,32.65,-114.61667,"YUMA MCAS, AZ US",2454.1,0.0,0.0,0.0,292.0,162.0,1.1,46.7,465.3,70.5,23.67,30.47,16.88,,"Yuma, AZ Metro Area","Yuma, AZ Metro Area",209468.0,34.6,51.5,48.5,49740.0,45243.0,7.7,9.8,13.5,76.3,2.2,63.8,1.3,10.1,6.1,7.0,27.2,16.1,36.6,15.0,3.3
2019,CA,California,Bakersfield,603526,"348,332",(-119.1421513 35.31989505),2019_PLACES_2021_release,"Bakersfield-Delano, CA Metro Area",123.0,CA,Bakersfield,places,10,35.43424,-119.05524,"BAKERSFIELD AIRPORT, CA US",1372.1,0.0,6.0,0.0,246.0,111.0,-0.5,43.3,965.5,232.0,19.38,26.0,12.75,,"Bakersfield-Delano, CA Metro Area",,,,,,,,,,,,,,,9.8,5.7,6.4,29.8,15.2,33.2,15.0,3.4
2019,CA,California,Chico,613014,"86,549",(-121.8151967 39.75779092),2019_PLACES_2021_release,"Chico, CA Metro Area",168.0,CA,Chico,places,10,39.8716,-121.6108,"DE SABLA, CA US",,,,,,,,,,2221.1,,,,,"Chico, CA Metro Area","Chico, CA Metro Area",225817.0,37.1,49.5,50.5,17020.0,52537.0,10.0,18.0,3.9,81.6,1.5,16.3,4.6,10.1,5.3,6.2,21.5,15.6,30.6,12.8,3.0
2019,CA,California,Fresno,627000,"496,732",(-119.791562 36.74679513),2019_PLACES_2021_release,"Fresno, CA Metro Area",224.0,CA,Fresno,places,10,36.77999,-119.72016,"FRESNO YOSEMITE INTERNATIONAL, CA US",1303.7,0.0,1.0,0.0,225.0,108.0,0.0,42.2,1040.4,315.4,18.98,25.44,12.53,,"Fresno, CA Metro Area","Fresno, CA Metro Area",984521.0,32.2,49.9,50.1,23420.0,53969.0,8.7,14.0,13.8,65.0,4.8,53.1,10.3,9.9,6.1,6.6,29.5,15.5,36.7,15.2,3.7
2019,CA,California,Los Angeles,644000,"3,792,685",(-118.5399543 34.17610512),2019_PLACES_2021_release,"Los Angeles-Long Beach-Anaheim, CA Metro Area",311.0,CA,Los Angeles,places,10,34.0236,-118.2911,"LOS ANGELES DOWNTOWN USC, CA US",806.1,0.0,0.0,0.0,241.0,27.0,3.3,36.1,558.2,547.6,18.94,23.72,14.17,,"Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area",13249614.0,36.8,49.3,50.7,31080.0,72998.0,7.2,22.4,11.2,53.6,6.6,45.0,16.0,8.0,5.1,4.9,25.5,13.3,27.7,12.7,3.1
2019,CA,California,Merced,646898,"78,958",(-120.4772109 37.30558372),2019_PLACES_2021_release,"Merced, CA Metro Area",324.0,CA,Merced,places,10,37.28597,-120.51788,"MERCED MUNICIPAL AIRPORT, CA US",867.0,0.0,18.0,0.0,223.0,96.0,-3.8,40.6,1328.2,365.0,16.95,24.69,9.2,,"Merced, CA Metro Area","Merced, CA Metro Area",271382.0,31.1,50.5,49.5,32900.0,53672.0,7.3,9.1,18.7,55.1,3.2,59.6,7.5,10.2,6.6,7.3,32.4,16.4,34.1,16.7,3.9
2019,CA,California,Modesto,648354,"203,115",(-120.9889715 37.66079631),2019_PLACES_2021_release,"Modesto, CA Metro Area",334.0,CA,Modesto,places,10,37.62544,-120.95492,"MODESTO AIRPORT, CA US",937.9,0.0,12.0,0.0,225.0,90.0,-1.6,41.1,1200.2,300.0,17.55,24.51,10.59,,"Modesto, CA Metro Area","Modesto, CA Metro Area",543194.0,34.1,49.5,50.5,33700.0,60704.0,7.6,11.8,11.3,76.6,3.0,46.3,5.5,10.1,5.6,6.5,28.6,15.5,29.4,14.0,3.2
2019,CA,California,Napa,650258,"77,042",(-122.3016434 38.29825439),2019_PLACES_2021_release,"Napa, CA Metro Area",344.0,CA,Napa,places,10,38.2075,-122.28041,"NAPA CO AIRPORT, CA US",181.0,0.0,24.0,0.0,189.0,13.0,-3.8,37.8,1591.9,721.8,14.39,21.02,7.76,,"Napa, CA Metro Area","Napa, CA Metro Area",139623.0,41.3,49.9,50.1,34900.0,88596.0,9.1,23.2,9.2,73.4,2.1,34.1,8.1,9.0,4.7,5.1,20.3,13.0,28.7,11.3,2.6
2019,CA,California,Oxnard,654652,"197,908",(-119.1819753 34.19609996),2019_PLACES_2021_release,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",362.0,CA,Oxnard,places,10,34.20012,-119.20417,"OXNARD VENTURA CO AIRPORT, CA US",193.8,0.0,0.0,0.0,172.0,4.0,1.7,36.7,,515.4,16.14,20.4,11.88,,"Oxnard-Thousand Oaks-Ventura, CA Metro Area","Oxnard-Thousand Oaks-Ventura, CA Metro Area",847263.0,38.1,49.5,50.5,37100.0,88131.0,9.3,21.3,9.2,80.1,1.8,42.7,7.3,8.7,5.6,5.4,28.6,13.4,30.3,13.8,3.2
2019,CA,California,Redding,659920,"89,861",(-122.3656319 40.5707256),2019_PLACES_2021_release,"Redding, CA Metro Area",387.0,CA,Redding,places,10,40.51462,-122.29773,"REDDING AIRPORT, CA US",1149.3,0.0,21.0,0.0,221.0,102.0,-2.1,42.8,1329.4,1093.5,17.61,24.53,10.69,,"Redding, CA Metro Area","Redding, CA Metro Area",179212.0,41.5,49.1,50.9,39820.0,54667.0,11.7,14.8,2.2,86.6,1.2,10.0,3.2,9.9,5.6,6.7,21.4,15.9,27.3,13.3,3.1
2019,CA,California,Riverside,662000,"303,876",(-117.3948232 33.93812671),2019_PLACES_2021_release,"Riverside-San Bernardino-Ontario, CA Metro Area",390.0,CA,Riverside,places,10,33.95282,-117.43523,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1016.1,0.0,0.0,0.0,247.0,98.0,0.6,41.7,811.6,368.0,18.72,25.86,11.58,,"Riverside-San Bernardino-Ontario, CA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area",4560470.0,34.5,49.8,50.2,40140.0,65121.0,8.2,13.9,9.0,60.5,7.4,51.0,6.8,8.9,5.2,5.7,25.7,14.4,32.5,13.4,3.0
2019,CA,California,Sacramento,664000,"466,473",(-121.4683216 38.56669248),2019_PLACES_2021_release,"Sacramento-Roseville-Folsom, CA Metro Area",397.0,CA,Sacramento,places,10,38.50659,-121.49604,"SACRAMENTO AIRPORT ASOS, CA US",743.8,0.0,10.0,0.0,214.0,68.0,-1.6,40.6,1312.6,632.1,16.76,23.65,9.86,,"Sacramento-Roseville-Folsom, CA Metro Area","Sacramento-Roseville-Folsom, CA Metro Area",2315980.0,37.4,48.9,51.1,40900.0,72280.0,9.9,21.8,5.3,65.0,7.1,21.6,13.3,10.4,5.2,5.7,25.3,13.8,28.0,12.6,3.3
2019,CA,California,Salinas,664224,"150,498",(-121.6315543 36.68851752),2019_PLACES_2021_release,"Salinas, CA Metro Area",404.0,CA,Salinas,places,10,36.66352,-121.60928,"SALINAS AIRPORT, CA US",141.8,0.0,1.0,0.0,155.0,9.0,-1.0,40.6,1296.5,362.2,15.18,20.43,9.92,,"Salinas, CA Metro Area","Salinas, CA Metro Area",433410.0,34.4,51.0,49.0,41500.0,71015.0,8.2,14.8,19.6,53.3,2.6,58.7,5.6,9.3,5.8,6.1,32.3,14.7,33.2,15.6,3.4
